City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
caravelas,BR,-17.7125,-39.2481,77.99,79,86,4.56,1666716802
hermanus,ZA,-34.4187,19.2345,62.8,80,48,9.46,1666716803
santa maria,BR,-29.6842,-53.8069,78.1,50,0,11.5,1666716763
bluff,NZ,-46.6,168.3333,43.56,86,100,10.11,1666716803
rikitea,PF,-23.1203,-134.9692,72.75,77,65,19.91,1666716804
new norfolk,AU,-42.7826,147.0587,54.91,85,100,4.0,1666716804
cape town,ZA,-33.9258,18.4232,66.61,73,20,20.71,1666716804
ushuaia,AR,-54.8,-68.3,46.02,52,20,5.75,1666716554
norman wells,CA,65.282,-126.8329,19.44,93,75,6.91,1666716805
souillac,MU,-20.5167,57.5167,73.78,73,40,11.5,1666716805
teahupoo,PF,-17.8333,-149.2667,75.16,83,99,24.65,1666716806
jamestown,US,42.097,-79.2353,72.01,55,0,9.22,1666716639
punta arenas,CL,-53.15,-70.9167,50.11,62,75,13.8,1666716807
butaritari,KI,3.0707,172.7902,80.46,80,69,5.57,1666716808
namatanai,PG,-3.6667,152.4333,79.57,82,55,4.14,1666716808
busselton,AU,-33.65,115.3333,50.81,83,1,2.82,1666716808
puerto ayora,EC,-0.7393,-90.3518,73.36,90,91,5.99,1666716809
avarua,CK,-21.2078,-159.775,71.65,68,20,9.22,1666716646
lompoc,US,34.6391,-120.4579,69.57,66,0,0.0,1666716809
qaanaaq,GL,77.484,-69.3632,23.67,74,100,5.66,1666716810
svarstad,NO,59.399,9.9698,48.56,57,82,1.5,1666716810
atuona,PF,-9.8,-139.0333,76.73,74,8,20.87,1666716811
mizdah,LY,31.4451,12.9801,71.89,24,0,1.5,1666716811
tasiilaq,GL,65.6145,-37.6368,30.58,92,100,3.51,1666716812
fortuna,US,40.5982,-124.1573,51.66,91,100,0.0,1666716812
inirida,CO,3.8653,-67.9239,91.85,51,98,1.83,1666716813
mataura,NZ,-46.1927,168.8643,38.89,90,100,2.62,1666716813
uirauna,BR,-6.5183,-38.4122,94.12,32,73,7.29,1666716814
sucua,EC,-2.4667,-78.1667,86.63,51,67,3.98,1666716814
seoul,KR,37.5683,126.9778,49.44,91,0,2.3,1666716143
hithadhoo,MV,-0.6,73.0833,81.28,78,46,10.87,1666716814
albany,US,42.6001,-73.9662,67.37,94,100,3.0,1666716578
nchelenge,ZM,-9.3451,28.734,78.69,61,89,12.39,1666716815
rocha,UY,-34.4833,-54.3333,73.72,50,4,8.99,1666716815
iracoubo,GF,5.4802,-53.2011,81.5,76,100,6.69,1666716816
barrow,US,71.2906,-156.7887,14.41,94,99,14.16,1666716813
isangel,VU,-19.55,169.2667,73.47,85,99,11.65,1666716816
coihueco,CL,-36.6167,-71.8333,63.34,63,75,5.75,1666716818
margate,GB,51.3813,1.3862,60.31,83,65,4.0,1666716614
yiyang,CN,28.5892,112.3283,60.76,51,41,3.74,1666716818
khatanga,RU,71.9667,102.5,9.18,95,89,9.35,1666716819
severo-kurilsk,RU,50.6789,156.125,37.65,66,38,8.9,1666716819
dikson,RU,73.5069,80.5464,26.04,77,100,8.61,1666716820
esperance,AU,-33.8667,121.9,55.24,86,39,10.45,1666716820
longyearbyen,SJ,78.2186,15.6401,15.64,67,20,4.61,1666716821
cayambe,EC,0.05,-78.1333,61.86,71,99,2.3,1666716821
neuquen,AR,-38.9516,-68.0591,78.69,19,0,6.91,1666716594
ixtapa,MX,20.7,-105.2,82.22,76,53,3.0,1666716822
galle,LK,6.0367,80.217,78.24,86,26,6.82,1666716822
champerico,GT,14.3,-91.9167,88.34,74,35,4.79,1666716822
verkhnevilyuysk,RU,63.4453,120.3167,25.32,93,98,7.02,1666716823
bethel,US,41.3712,-73.414,69.78,90,100,6.91,1666716823
kapaa,US,22.0752,-159.319,77.09,88,36,5.01,1666716824
katangli,RU,51.7102,143.2326,32.72,83,65,10.45,1666716825
inuvik,CA,68.3499,-133.7218,9.46,85,75,6.91,1666716825
swakopmund,NA,-22.6833,14.5333,65.25,77,71,3.0,1666716826
airai,TL,-8.9266,125.4092,62.78,92,100,1.57,1666716826
khasan,RU,42.4308,130.6434,45.12,71,2,6.71,1666716827
mitu,CO,1.1983,-70.1733,90.16,50,91,2.24,1666716827
prince rupert,CA,54.3161,-130.3201,42.49,90,100,19.57,1666716543
araguaina,BR,-7.1911,-48.2072,92.53,45,98,1.21,1666716664
kaitangata,NZ,-46.2817,169.8464,41.05,85,98,3.78,1666716821
saint-philippe,RE,-21.3585,55.7679,72.99,80,47,13.33,1666716828
husavik,IS,66.0449,-17.3389,38.19,91,95,9.19,1666716828
arkhara,RU,49.4212,130.0842,35.35,55,86,8.81,1666716828
atambua,ID,-9.1061,124.8925,76.03,86,100,0.94,1666716829
tommot,RU,58.9564,126.2925,24.73,86,99,10.16,1666716829
awbari,LY,26.5921,12.7805,74.57,29,0,9.24,1666716830
laguna,US,38.421,-121.4238,68.09,59,47,1.99,1666716831
porangatu,BR,-13.4408,-49.1486,94.53,31,73,2.86,1666716832
port elizabeth,ZA,-33.918,25.5701,65.1,79,40,16.11,1666716827
